"codes","official_explanation"
"V12.59","Personal history of other diseases of circulatory system"
"V14.9","Personal history of allergy to unspecified medicinal agent"
"V15.09","Other allergy, other than to medicinal agents"
"V18.0","Family history of diabetes mellitus"
"V19.11","Family history of glaucoma"
"V42.5","Cornea replaced by transplant"
"V43.0","Eye globe replaced by other means"
"V43.1","Lens replaced by other means"
"V45.61","Cataract extraction status"
"V45.69","Other states following surgery of eye and adnexa"
"V45.78","Acquired absence of organ, eye"
"V49.89","Other specified conditions influencing health status"
"V53.1","Fitting and adjustment of spectacles and contact lenses"
"V58.32","Encounter for removal of sutures"
"V58.49","Other specified aftercare following surgery"
"V58.69","Long-term (current) use of other medications"
"V58.83","Encounter for therapeutic drug monitoring"
"V65.5","Person with feared complaint in whom no diagnosis was made"
"V67.00","Follow-up examination, following surgery, unspecified"
"V67.51","Follow-up examination, following completed treatment with high-risk medication, not elsewhere classified"
"V67.59","Other follow-up examination"
"V70.3","Other general medical examination for administrative purposes"
"V72.0","Examination of eyes and vision"
"V74.4","Screening examination for bacterial conjunctivitis"
"V77.1","Screening for diabetes mellitus"
"V80.1","Screening for glaucoma"
"V85.25","Body Mass Index 29.0-29.9, adult"
"V87.49","Personal history of other drug therapy"
"Z01.00","Encounter for examination of eyes and vision without abnormal findings"
"Z02.4","Encounter for examination for driving license"
"Z21","Asymptomatic human immunodeficiency virus [HIV] infection status"
"Z44.21","Encounter for fitting and adjustment of artificial right eye"
"Z44.8","Encounter for fitting and adjustment of other external prosthetic devices"
"Z46.0","Encounter for fitting and adjustment of spectacles and contact lenses"
"Z51.81","Encounter for therapeutic drug level monitoring"
"Z79.4","Long term (current) use of insulin"
"Z79.52","Long term (current) use of systemic steroids"
"Z79.84","Null"
"Z79.899","Other long term (current) drug therapy"
"Z83.511","Family history of glaucoma"
"Z86.011","Personal history of benign neoplasm of the brain"
"Z86.73","Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits"
"Z87.820","Personal history of traumatic brain injury"
"Z90.01","Acquired absence of eye"
"Z92.29","Personal history of other drug therapy"
"Z94.7","Corneal transplant status"
"Z96.1","Presence of intraocular lens"
"Z97.0","Presence of artificial eye"
"Z98.41","Cataract extraction status, right eye"
"Z98.42","Cataract extraction status, left eye"
"Z98.49","Cataract extraction status, unspecified eye"
"Z98.890","Null"
